#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
214,Palau,5460,6.0,5444.0,10.0,1.0,299457.0,329.0,64681.0,3547469.0,18233.0
215,St. Barth,5285,6.0,225011.0,1246.0,18.0,531423.0,603.0,78646.0,7908095.0,9945.0
216,Nauru,4611,1.0,4605.0,5.0,18.0,422911.0,92.0,20509.0,1881042.0,10903.0
217,Anguilla,3865,12.0,3848.0,5.0,4.0,253775.0,788.0,51382.0,3373736.0,15230.0
218,Kiribati,3430,13.0,2703.0,714.0,3.0,27792.0,105.0,2172044.0,871741.5,123419.0
219,Saint Pierre Miquelon,3188,1.0,2449.0,738.0,1.0,553568.0,174.0,24902.0,4324015.0,5759.0
220,Falkland Islands,1886,2179.0,1886.0,0.0,18.0,532919.0,777.0,8632.0,2439107.0,3539.0
221,Montserrat,1396,8.0,1353.0,35.0,18.0,281168.0,1611.0,17579.0,3540584.0,4965.0
222,Saint Helena,1355,2179.0,2.0,1353.0,18.0,221586.0,777.0,2172044.0,871741.5,6115.0
223,Macao,793,6.0,787.0,0.0,18.0,1188.0,9.0,7850.0,11760.0,667490.0
224,Wallis and Futuna,761,7.0,438.0,316.0,18.0,69295.0,637.0,20508.0,1867419.0,10982.0
225,Diamond Princess,712,13.0,699.0,0.0,18.0,117976.0,777.0,2172044.0,871741.5,5816377.5
226,Niue,80,2179.0,80.0,0.0,18.0,49322.0,777.0,2172044.0,871741.5,1622.0
227,Vatican City,29,2179.0,29.0,0.0,18.0,36295.0,777.0,2172044.0,871741.5,799.0
228,Tuvalu,20,2179.0,225011.0,20.0,18.0,1658.0,777.0,2172044.0,871741.5,12066.0
229,Western Sahara,10,1.0,9.0,0.0,18.0,16.0,2.0,2172044.0,871741.5,626161.0
230,MS Zaandam,9,2.0,7.0,0.0,18.0,117976.0,777.0,2172044.0,871741.5,5816377.5
